50
2
7941;0.000971
7941;0.001259
8929;0.000772
7782;0.000388
8929;0.000547
5596;0.000828
9147;0.000698
8929;0.000513
9147;0.000472
5376;0.000486
7941;0.000817
7941;0.000563
9147;0.000634
8929;0.000509
9147;0.000963
9147;0.000676
7486;0.000997
7486;0.000953
9147;0.000657
8929;0.000477
4783;0.000332
8268;0.000293
8929;0.000487
3333;0.000295
9147;0.000625
3099;0.000280
2983;0.000659
7925;0.000297
8940;0.000516
5429;0.000747
7486;0.001018
7486;0.000760
8929;0.000511
1684;0.000293
7941;0.000587
2983;0.000738
9147;0.000470
5467;0.000463
7486;0.000910
5429;0.000771
7782;0.000290
8164;0.000403
5596;0.000749
6919;0.001051
8929;0.000450
8929;0.000451
7941;0.000796
8929;0.000682
7486;0.001269
9147;0.000553
7941;0.000572
7941;0.000546
5544;0.000458
7670;0.000293
4783;0.000317
9147;0.000462
5596;0.000834
9147;0.000568
9147;0.000546
8929;0.000453
7486;0.000816
9147;0.000558
7925;0.000283
7909;0.000333
8929;0.000457
8929;0.000451
7486;0.000915
5276;0.000539
9147;0.000451
5544;0.000476
7486;0.000860
7941;0.000603
7486;0.000832
5133;0.000294
7873;0.000338
5596;0.000733
8929;0.000453
3333;0.000323
7486;0.000978
9147;0.000524
9147;0.000279
3565;0.000271
7486;0.000980
6919;0.000915
8164;0.000273
7941;0.000552
4783;0.000330
8929;0.000611
8929;0.000536
8929;0.000453
8929;0.000454
7486;0.000935
9147;0.000275
8929;0.000537
7486;0.000817
9147;0.000889
3099;0.000282
3428;0.000280
5624;0.000276
8164;0.000277
